Original File name;Location;Suppliers Reference;Title;Description;Year;Creator;Keywords;caption;image_id;IMAGE LINK
6826.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/220;Settlement on the banks of the Yangtze River;"People mill about at a settlement containing several woven bamboo dwellings with canvas roofs on the banks of the Yangtze River. 

Original manuscript caption: Yangtse - Wuku Life on river front.";[1909];;China;Settlement on the banks of the Yangtze River;115629;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d4ad243d757dd089db671bcca86ae2a3
6835.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/251;Pagoda-style monument in Seoul;"Two European men chat together beneath an ornate pagoda-style monument in a public garden. 

Original manuscript caption: Seoul - Public Gardens";c.1920;;South Korea;Pagoda-style monument in Seoul;116661;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a7a6bb703e98c7338541c083c48e2b08
6791.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/109;A 'likin' (tax) station on the Xijiang River;"A 'likin' (Chinese provincial tax) station on the banks of the Xijiang River, Canton Province, is protected by guard boats. Likin was levied at many inland stations upon imports or articles in transit. 

Original manuscript caption: Likin station and Guard Boats. West River.";c.1906;;China;A 'likin' (tax) station on the Xijiang River;121922;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a5a166bba5e47b6234d775448406d011
6772.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/52;Pallbearers at a Chinese funeral;"Two pallbearers prepare to carry a coffin on a wooden bier during a Chinese funeral ceremony. The coffin is draped in fine cloth and decorated with wreaths of flowers, indicating that the deceased had been wealthy.

Original manuscript caption: Chinese funeral  - (wealthy)";c.1905;;China;Pallbearers at a Chinese funeral;116637;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3735fc03a126962cc863272fef945b89
6775.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/59;A working-class Chinese funeral procession;"Four pallbearers carry the simply-constructed coffin of a working-class person to a rural burial site. A group of mourners follow behind, including one European man dressed in Western-style clothing.

Original manuscript caption: Chinese funeral procession - poor Chinese Coolie class";c.1905;;China;A working-class Chinese funeral procession;121655;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9405832b1d0be60513c275085596cdea
6744.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/38;Happy Valley Horse Racing Track;"View across the Happy Valley Horse Racing Track, originally built in 1845 for the entertainment of British colonists. Wan Chai, Hong Kong.

Original manuscript caption: Hong Kong - Race Course at Happy Valley & Morrison Hill";c. 1903;;"Hong Kong
China";Happy Valley Horse Racing Track;119232;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a0acb2046b70065d9ec2cc8c46afc1e5
6759.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/64;Petty criminal in the stocks, Hong Kong;"A petty criminal sits with his ankles restrained in stocks, guarded by an Indian officer from the Hong Kong Police Force. He wears a board strung around his neck, describing in detail the offence committed.

Original manuscript caption: Hong Kong  - Prisoner in stocks & Indian Constable";c. 1903;;"Hong Kong
China";Petty criminal in the stocks, Hong Kong;116562;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/12f54f49bb55fa015764e6503c6c202c
6753.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/54;Queen's Road central, Hong Kong;"View along Queen's Road central, opposite the central market, Hong Kong.

Original manuscript caption: Hong Kong - Central - note Chinese signboards. Absence of traffic denotes Chinese dislike of being photographed in menial occupations.";c. 1903;;"Hong Kong
China";Queen's Road central, Hong Kong;116131;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2e2229c573ea617a7591b1528b6fe90f
BEC 2005-078-1-4[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/4;Police lines entrance with Sergt. Major in foreground;"Somali sergeant standing at entrance to Police Department

Original manuscript caption: Police lines entrance with Sergt. Major in foreground";c. 1910;;"Somalia
Jubaland";Police lines entrance with Sergt. Major in foreground;204476;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/e5cf65ae5e737b6569201eb230cb9800
BEC 2005-078-1-1[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/1;Somali police recruits enlisted at Kismayu;"Somali police troops lined up at arms

Original manuscript caption: Somali recruits enlisted at Kismayu";c. 1910;;"Somalia
Jubaland";Somali police recruits enlisted at Kismayu;204473;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ee940eac998da1197f9ffcda18918ff8
BEC 2005-078-1-19[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/19;Doctor's House, Kismayu;"Exterior of house

Original manuscript caption: Doctor's House, Kismayu";c. 1910;;"Somalia
Jubaland";Doctor's House, Kismayu;204491;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ad454b3c6e16e9c84da2d45b8d11e867
BEC 2005-078-1-21[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/21;Entrance, Kismayu Police Lines;"Long, low building with gateway and one figure

Original manuscript caption: Entrance Kismayu Police Lines";c. 1910;;"Somalia
Jubaland";Entrance, Kismayu Police Lines;204493;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b2cb058c489b4957a858b60641684ec2
BEC 2005-078-1-26[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/26;Mombasa Police;"Line of Police with rifles and sabres

Original manuscript caption: Mombasa Police";c. 1910;;Kenya;Mombasa Police;204498;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9f522f4b0f95595fc395462fba915163
BEC 2005-078-1-46[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/46;Rhino feeding;"View of open land with trees

Original manuscript caption: Rhino feeding";c. 1910;;Kenya;Rhino feeding;204518;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/16389b60394498e6787ffedcac2eceee
BEC 2005-078-1-53[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/53;Uniformed servant with dead Thomson's gazelle;"Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle";c. 1910;;Kenya;Uniformed servant with dead Thomson's gazelle;204526;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5aab62c742c2676a13f08c1a00124ec4
BEC 2005-078-1-55[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/55;Uniformed servant with dead Thomson's gazelle;"Uniformed man standing by dead gazelle 

Original manuscript caption: One of my orderlies + Thomson's Gazelle";c. 1910;;Kenya;Uniformed servant with dead Thomson's gazelle;204528;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/acf41a0571faf853f3c56bc97e3311e3
BEC 2005-078-1-71[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/71;An Aden Street;"View of a curving road with buildings and horse drawn wagon

Original manuscript caption: An Aden Street";c. 1910;;"Aden
Yemen";An Aden Street;204545;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2acf08b7e33e97b71db27e513b4f999d
BEC 2005-078-1-79[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/79;Harbour at Port Said;"View of the harbourside at Port Said and a steamer, from the deck of a ship

Original manuscript caption: Port Said";c. 1910;;Egypt;Harbour at Port Said;204553;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d0ce17db8cab9ed9762e989043aa5c09
5651.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/105;Duke of Connaught meets an African chief;"The Duke of Connaught shakes hands with an African chief whilst attending an outdoor reception by Bechuanaland leaders. 24 November 1910.

Notes from a printed itinerary of the visit:
Thursday, November 24
9.10 A.M. to 11.10 A.M. Gaberones. Reception of Khama and other Bechuanaland  Chiefs. Plain clothes.";1910;;"Botswana
Bechuanaland";Duke of Connaught meets an African chief;119894;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9a8bbf29d06de0a7b72f27312ea99b98
5648.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/101;Inspection of the British South Africa Police;"The Duke of Connaught inspects a line-up of police officers and cadets of the British South Africa Police at a police camp in Salisbury. 18 November 1910.

Notes from a printed itinerary of the visit:
Friday, November 18
Morning, Police Camp, Inspection of British South Africa Polica, Khaki Uniform.";1910;;"Zimbabwe
Southern Rhodesia";Inspection of the British South Africa Police;118930;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6db9c5294444b7404849c97ef341eaae
8837.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/5/2/2/28;Washing day at an Asante village;"Women and children wash clothes outdoors at an Asante (Ashanti) village. Large squares of patterned cloth are hung up to dry on a washing line behind them. 

Original manuscript caption: A village in Western Ashanti, washing day.";1951-52;;"Gold Coast
Ghana";Washing day at an Asante village;114019;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5b6cbb12a99bc4539f9c7364ba469562
5611.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/11;The Duke of Connaught joins in the fun;The Duke of Connaught is pictured with a fish tied around his neck as he participates in antics aboard the S.S. Balmoral, watched by a crowd of crew members and his wife, who are clearly entertained. Probably Atlantic Ocean, October 1910.;1910;;;The Duke of Connaught joins in the fun;114881;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2dab3dc77106eb497c99fb20c5a4c53d
5649.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/102;Crowd for the Duke of Connaught;A large crowd of African civilians gather outside a church, probably in Salisbury, for the reception of the Duke of Connaught.;1910;;"Zimbabwe
Southern Rhodesia";Crowd for the Duke of Connaught;120161;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/dbad9e4d7baa77d669af56104c56d89c
8848.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/5/2/2/35;Repairing fishing nets;"A Ghanaian woman in traditional dress sits outside a mud-walled building as she repairs fishing nets. 

Original manuscript caption: A net mender.";1951-52;;"Gold Coast
Ghana";Repairing fishing nets;115942;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d3ea3584fd216cb4e499aedf95ab478a
5639.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/70;A donkey for the Duke of Connaught;Uniformed military personnel prepare a saddled donkey for the Duke of Connaught to ride.;1910;;"Zambia
Northern Rhodesia";A donkey for the Duke of Connaught;122066;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a7da934ca77a4ec97578d545dac5cc80
5609.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/9;Antics aboard S.S. Balmoral Castle;Royal Navy sailors aboard S.S. Balmoral Castle clown about on deck wearing costumes and wigs during a traditional 'crossing the line' naval initiation ceremony. Probably Atlantic Ocean, October 1910.;1910;;;Antics aboard S.S. Balmoral Castle;121237;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/bceb5051b70a4a8f7af85c2d68e39def
8919.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/4/2/21;'Short-eats' in Ceylon;A female market trader squats at her stall, apparently preparing some sort of 'short-eats' (snacks) wrapped in leaves.;1936;;"Sri Lanka
Ceylon";'Short-eats' in Ceylon;115582;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/50dd553739bb91e0dd31d76cff50dbae
5606.tif;British Empire and Commonwealth Collections at Bristol Archives;1995/076/1/4/1/3;Officers aboard the S.S. Balmoral Castle;Two British naval officers hold hands and pull faces for the camera as they pose on the deck of the S.S. Balmoral Castle. Probably Atlantic Ocean, October 1910.;1910;;;Officers aboard the S.S. Balmoral Castle;116794;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0411259d3ea5aedbb154705e68f50a32
2012-001-6-7-AO-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AO6;Boys society, drummers and masked dancer;"Ruel Collection: Banyang
Boys society, drummers and masked dancer
June 1954";Jun-54;;Cameroon;Boys society, drummers and masked dancer;186101;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5eae27b83152eeffd3dbc982148e0fe9
2012-001-6-7-AQ-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AQ4;Lazarius crossing river (Kenkwa country);"Ruel Collection: Banyang
Lazarius crossing river (Kenkwa country)
June 1954";Jun-54;;Cameroon;Lazarius crossing river (Kenkwa country);186111;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f761545793e64a0b702827b5ab64d047
2012-001-6-7-AM-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AM3;Empire Day sports, start 440yds, Senior;"Ruel Collection: Banyang
Empire Day sports, start 440yds, Senior
May 1954";May-54;;Cameroon;Empire Day sports, start 440yds, Senior;186087;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ec84561875934c1b6c38db09b597149d
2012-001-6-7-AS-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AS3;Bernard swearing [Mfau?] (Elomba);"Ruel collection: Banyang
Bernard swearing [Mfau?] (Elomba)
June 1954";Jun-54;;Cameroon;Bernard swearing [Mfau?] (Elomba);188919;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/996e96a38aaf0f2729eb746c6b9230ef
2012-001-6-7-AW-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AW2;Twi attacking house in distance;"Ruel collection: Banyang
Twi attacking house in distance
July 1954";Jul-54;;Cameroon;Twi attacking house in distance;188942;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2dec211a0c0b3c366fc5e365e202554d
2012-001-6-7-AZ-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AZ5;Dam on [Mfu?];"Ruel collection: Banyang
Dam on [Mfu?]
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Dam on [Mfu?];188961;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8b1becca9cad8927759f67e723aa342a
2012-001-6-7-AJ-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AJ5;Market at Tali;"Ruel Collection: Banyang
Market at Tali
May 1954";May-54;;Cameroon;Market at Tali;186080;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ebb485eeb170860e5b460d7d3ca70677
2012-001-6-7-BB-005.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/BB5;Chief Nkwa;"Ruel collection: Banyang
Chief Nkwa
Sep-Oct 1954";Sep-Oct 1954;;Cameroon;Chief Nkwa;188973;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ebeaa828774116a2627a5e6343779b55
2012-001-6-7-AY-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AY3;Dickson;"Ruel collection: Banyang
Dickson
August 1954";Aug-54;;Cameroon;Dickson;188953;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f997e5b877102acf255e9dc414f2f4a2
2012-001-6-7-AX-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/AX6;Sampson;"Ruel collection: Banyang
Sampson
July 1954";Jul-54;;Cameroon;Sampson;188951;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1164018ec772f8be35df8fb16dd7e478
5704.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/2;South view of the Governor General's Palace at Khartoum;Printed caption reads: 'The Palace Khartoum (South).  Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 1'. Exterior view of the colonial-style Governor General's palace in Khartoum. The palace was built on the site where British General Charles George Gordon (1833-1885) was killed during the Battle of Khartoum (1884-5) by Sudanese Mahdist forces.;[c.1906];;Sudan;South view of the Governor General's Palace at Khartoum;114820;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b7f6c5a1cf93ecf0afd4955a646b075b
5718.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/222/1/1/67;Egyptian Soldiers of the 3rd Battalion;Printed caption reads: 'Egyptian Soldiers, 3rd Battalion. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 227'. Armed soldiers pose for a group portrait.;[c.1906];;Sudan;Egyptian Soldiers of the 3rd Battalion;114458;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/50944f65ab4d3cb972bf70cdadff1905
2012-001-6-7-V-004.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/V4;Banyang country, looking down on to part of Bakebe;"Ruel Collection: Banyang
Banyang country, looking down on to part of Bakebe
18/04/1954";18/04/1954;;Cameroon;Banyang country, looking down on to part of Bakebe;185658;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/2e3837cae803d658c61de39f236db14c
2012-001-6-7-R-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/R1;Bekundi meeting, killing the first goat;"Ruel Collection: Banyang
Bekundi meeting, killing the first goat
14/04/1954";14/04/1954;;Cameroon;Bekundi meeting, killing the first goat;184873;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/54e9bde4da3bb4600d287c12b415b84d
2012-001-6-7-O-002.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/O2;[Mbizjoz?] woman cutting vegetables;"Ruel Collection: Banyang
[Mbizjoz?] woman cutting vegetables
08/04/1954";08/04/1954;;Cameroon;[Mbizjoz?] woman cutting vegetables;184862;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/dd2b68cc981cfed49fdc50765460494f
2012-001-6-7-R-006.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/R6;Sewing a roof mat. (Ako?);"Ruel Collection: Banyang
Sewing a roof mat. Ako?
15/04/1954";15/04/1954;;Cameroon;Sewing a roof mat. (Ako?);184877;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/e5cd36621f11c2c56114507d3297c299
2012-001-6-7-W-003.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/W3;Views of Banyang country;"Ruel Collection: Banyang
Views of Banyang country
18/04/1954";18/04/1954;;Cameroon;Views of Banyang country;185662;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/7746df35a0a1287ba43bfa6bc28b97bd
2012-001-6-7-O-001.tif;British Empire and Commonwealth Collections at Bristol Archives;2012/001/6/7/O1;Nyak [Eboz?];"Ruel Collection: Banyang
Nyak [Eboz?]
08/04/1954";08/04/1954;;Cameroon;Nyak [Eboz?];184861;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a8beac7a7f5ff07f2b3b204ad893db08
10762.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/14/48;The culmination of a 'sevusevu' ceremony;"The culmination of a 'sevusevu' ceremony
A 'bilo' (half coconut shell) containing an infusion of water and powdered kava root (Piper methysticum) is passed between two men during a traditional 'sevusevu' welcoming ceremony. Watched by a seated audience, both men are naked from the waist up and wear ceremonial costume including face paint and skirts made from strips of fabric. Fiji, 1965.
No Fijian ceremony of any importance is complete without the Yanqona ceremony. It is reserved mainly for high chiefs and distinguished guests. The ceremony involves the making of the Yanqona drink, an infusion of the pounded or ground root of the shrub Paper Mesthiticum and water, which is mixed in a wooden bowl called a 'Tanoa'.  Usually it is strained through Bast, a type of Flax, and the drink is served in coconut shells.  Elaborate ritual and chanting is part of the ceremony. The cup-bearer is about to present Yanqona to distinguished guests.  The drink is non-alcoholic.";1965;;Fiji;The culmination of a 'sevusevu' ceremony;114908;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f3d9e91564cbc10f975dd61888e3922f
10758.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/14/43;Men perform the 'meke i wau';"Men perform the 'meke i wau'
A group of men perform the 'meke i wau', a male dance from Fiji incorporating clubs. They dance wearing ceremonial costumes made from grass and leaves. An original caption comments: ""The movements are always vigorous, for they portray phases of tribal battles"". Fiji, 1965.
A 'Meke' is a way the Fijians have of expressing themselves in a dance. The movements are always vigorous, for they portray phases of tribal battles.";1965;;Fiji;Men perform the 'meke i wau';118169;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8c7bcb4f810fe9a6d8c1584b02ff9a1b
10757.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/14/42;Men perform a 'meke wesi';"Men perform a 'meke wesi'
A group of men perform the 'meke wesi', a male war dance from Fiji that incorporates props such as spears and fans. Naked from the waist up, they wear ceremonial costume including tiered 'masi' (bark cloth) skirts and flowered leis. Fiji. 1965.
A 'Meke' ""Wezi"", a fan and spear dance";1965;;Fiji;Men perform a 'meke wesi';117580;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/336e8cfd5f24117a02c9d3cfd99a270e
10792.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/13/11;View over English Harbour, Antigua;"View over English Harbour. Various types of sail boat are moored at English Harbour, the site of an 18th century Royal Navy base where Vice Admiral Horatio Nelson was stationed as a young Captain. English Harbour, Antigua, 1965.
Caption reads '
DOCKYARD FROM WHICH NELSON SAILED'.";1965;;Antigua;View over English Harbour, Antigua;114091;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3b9a39106b9185f4d08ba39c64901b5a
10819.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/13/46;An elderly man from Dominica;"An elderly man from Dominica
An elderly Dominican man leans back in the saddle of his straw-laden donkey, taking a drink from a glass whilst holding a cigarette in his other hand. An original caption comments that he was an ""employee from a small hotel from Roseau"". Roseau, Dominica, 1965.";1965;;Dominica;An elderly man from Dominica;121375;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5cf881412b2269d8f5b94a15e08b28a7
10840.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/13/85;A Guyana Airways Corporation aeroplane;"A Guyana Airways Corporation aeroplane 
A Guyana Airways Corporation aeroplane sits in a grassy field as it is loaded with cargo from the back of a tractor. An original caption comments that the aircraft was ""en route to the interior"". British Guiana (Guyana), 1965.";1965;;British Guyana;A Guyana Airways Corporation aeroplane;121989;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/52a11844b8700d15f223143e82eefff8
594.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/13/59;Grenadian schoolgirls;"Grenadian schoolgirls. Two small Grenadian schoolgirls stand close together dressed in matching bonnets, buttoned shirts and patterned skirts. The taller of the two holds a bunch of leaves in her hand. Grenada, West Indies, 1965.
Caption reads 'ON THE WAY TO SCHOOL'.";1965;;Grenada;Grenadian schoolgirls;115082;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5d8ce239b0e6618cc712284b38071468
10079.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/16/85;Mount Egmount (Mount Taranaki)  North Island;"Mount Egmount (Mount Taranaki)  North Island
The snow clad peak of Mount Egmont  (8,260ft/2,518 mts.) rises up  from bushland in the North Islands west coast.
Caption reads FROM THE MOUNT EGMONT HOTEL.   THE MOUNTAIN IS 8260 FEET.";1966;;New Zealand;Mount Egmount (Mount Taranaki)  North Island;117988;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/635044fb6817cf9e5a06c9d21b17f7aa
10083.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/16/90;Mount Ngauruhoe, Tongariro National Park;"Mount Ngauruhoe, Tongariro National Park
Steam appears from the top of Mount Ngauruhoe following a recent eruption, Tongariro National Park.
Caption reads MOUNT NGAURUHOE (7515 ft.) STEAMING AFTER A RECENT ERUPTION.  TONGARIRO NATIONAL PARK.";1966;;New Zealand;Mount Ngauruhoe, Tongariro National Park;117983;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/010dc655d1bdfebe19222c5f0786972f
10084.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/16/91;Tongariro National Park;"Tongariro National Park.   
The Crater Lake of Mt. Ruapehu surfaces above the cloud line at Tongariro National Park.
Caption reads TONGARIRO NATIONAL PARK.   LOOKING FROM THE SUMMIT OF MT. RUAPEHU ACROSS THE CRATER LAKE.";1966;;New Zealand;Tongariro National Park;114366;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8b27407d9289aa725432608e11a6e4e3
10075.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/16/75;An adult gannet;"An adult gannet stands with its head and beak in profile following a preening session.
A downy chick squats in the background
Caption reads A PARENT BIRD";1966;;New Zealand;An adult gannet;121423;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d2f616203a52a933718918486dc744d3
10060.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/010/1/16/21;Mitre Peak at Milford Sound;"Mitre Peak at Milford Sound
View of Mitre Peak (left) at Milford Sound. Southland, New Zealand, 1966.
Caption reads MITRE PEAK (5560 ft.) MILFORD SOUND.  SOUTHLAND";1966;;New Zealand;Mitre Peak at Milford Sound;118091;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/52db3d52a69fd5cb59ddf3ce90c8807b
8990.tif;British Empire and Commonwealth Collections at Bristol Archives;2001/090/1/4/1/6;African Chiefs await the Royal party at Eastleigh Airport;Photograph depicting five elderly chiefs sitting at the front of a spectator crowd awaiting the arrival of the Royal party.  The man sitting closest to camera wears a head scarf and holds a staff bearing the Royal insignia.  Two other men also wear this head dress.  The men sitting in the middle of the front row wear feathered plumes and leopard skin neck ruffs.;Feb-52;;Kenya;African Chiefs await the Royal party at Eastleigh Airport;121111;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/38f63b338c33607d281075410702a911
